2026-03-01 09:10:25,INFO,프로그램 시작
2026-03-01 09:12:11,ERROR,파일 없음
2026-03-01 09:13:02,WARNING,메모리 부족
2026-03-01 09:15:45,INFO,사용자 로그인
2026-03-01 09:18:20,INFO,데이터 로드 완료

2026-03-02 10:01:33,ERROR,접근 거부
2026-03-02 10:02:10,ERROR,권한 없음
2026-03-02 10:05:20,INFO,재시작
2026-03-02 10:10:55,WARNING,디스크 사용량 높음
2026-03-02 10:15:42,INFO,로그 기록 완료

2026-03-03 11:20:10,ERROR,연결 실패
2026-03-03 11:21:00,WARNING,응답 지연
2026-03-03 11:25:30,INFO,프로그램 종료
2026-03-03 11:30:45,INFO,프로그램 시작
2026-03-03 11:32:11,ERROR,타임아웃 발생

2026-03-04 08:05:12,INFO,시스템 점검 시작
2026-03-04 08:10:44,INFO,시스템 점검 완료
2026-03-04 08:15:30,WARNING,네트워크 불안정
2026-03-04 08:20:55,ERROR,패킷 손실 발생
2026-03-04 08:25:17,INFO,복구 완료

2026-03-05 14:01:01,INFO,사용자 로그인
2026-03-05 14:05:22,INFO,파일 업로드
2026-03-05 14:07:45,ERROR,파일 손상
2026-03-05 14:10:33,WARNING,업로드 지연
2026-03-05 14:12:00,INFO,업로드 완료

2026-03-06 16:20:14,INFO,백업 시작
2026-03-06 16:25:19,ERROR,백업 실패
2026-03-06 16:30:00,WARNING,저장 공간 부족
2026-03-06 16:35:42,INFO,재시도 성공
2026-03-06 16:40:55,INFO,백업 완료

2026-03-07 18:00:00,INFO,서비스 시작
2026-03-07 18:05:33,WARNING,응답 느림
2026-03-07 18:10:21,ERROR,DB 연결 실패
2026-03-07 18:15:45,ERROR,쿼리 오류
2026-03-07 18:20:00,INFO,서비스 정상화

2026-03-08 20:10:10,INFO,로그 초기화
2026-03-08 20:12:45,WARNING,CPU 사용량 높음
2026-03-08 20:15:30,ERROR,프로세스 강제 종료
2026-03-08 20:18:22,INFO,재시작 완료
2026-03-08 20:20:00,INFO,정상 동작
